Precision at 1 per category,avg prec at 1
0.05,0.151779647
0,
0.15,
0,
0,
0.142857143,
0.052631579,
0,
0,
0.7,
0.15,
0.5,
0.181818182,
0.15,
0.2,
0.2,
0.45,
0.05,
0.052631579,
0,
0.05,
0.05,
0.1,
0.142857143,
0.105263158,
0,
0,
0,
0.45,
0.047619048,
0.142857143,
0.65,
0,
0.15,
0.05,
0.210526316,
0.1,
0.047619048,
0.4,
0.315789474,
0.1,
0.2,
0.05,
0.15,
0,
0.2,
0.333333333,
0.05,
0.047619048,
0.1,
0.476190476,
0.1,
0.095238095,
0.142857143,
0,
0,
0.25,
0.1,
0.3,
0,
0,
0,
0.05,
0,
0.052631579,
0,
0.05,
0,
0.315789474,
0.05,
0,
0,
0.1,
0.1,
0.8,
0.5,
0,
0.4,
0.9,
0,
0.3,
0.047619048,
0.333333333,
0,
0.238095238,
0.19047619,
0.210526316,
0.1,
0,
0,
0.05,
0,
0.444444444,
0,
0,
0,
0,
0.05,
0.19047619,
0.35,
0.181818182,
0.421052632,
0.45,
0,
0,
0,
0,
0.19047619,
0.142857143,
0.315789474,
0,
0.952380952,
0.363636364,
0.045454545,
0.05,
0.05,
0.65,
0,
0.052631579,
0.05,
0.15,
0.15,
0.333333333,
0,
0.3,
0,
0.045454545,
0,
0,
0.714285714,
0.473684211,
0.722222222,
0.047619048,
0.157894737,
0,
0,
0.095238095,
0.1,
0.1,
0.05,
0.4,
0.5,
0,
0.25,
0.045454545,
0,
0,
0,
0.19047619,
0.65,
0.35,
0.2,
0,
0.1,
0,
0,
0,
0.227272727,
0.2,
0.105263158,
0,
0,
0.1,
0.4,
1,
0.047619048,
0.095238095,
0,
0,
0.238095238,
0.380952381,
0.2,
0,
0,
0,
0.238095238,
0,
0.333333333,
0.1,
0.05,
0.476190476,
0.043478261,
0.619047619,
0.210526316,
0,
0.25,
0.047619048,
0.736842105,
0,
0.19047619,
0.105263158,
0.3,
0.15,
0.3,
0.105263158,
0.3,
0,
0.05,
0,
0.238095238,
0,
0,
0.4,
0.05,
0.095238095,
0,
0,
0,
0.1,
0,
0,
0,
0,
0,
0,
0.35,
0,
0,
0.05,
0,
0,
0,
0.25,
0.2,
0.130434783,
0.05,
0.05,
0.05,
0.65,
0,
0.15,
0,
0.35,
0.15,
0.045454545,
0,
0,
0.105263158,
0,
0.15,
0.047619048,
0,
0,
0.142857143,
0,
0.095238095,
0.210526316,
0.238095238,
0.1,
0.047619048,
0,
0.55,
0.090909091,
0,
0.25,
0,
0.2,
0.333333333,
0.789473684,
0,
0.05,
0.15,
0.05,
0.35,
0.578947368,
0,
0.05,
0.095238095,
0.263157895,
0.047619048,
0.25,
0.15,
1,
0,
0.1,
0.1,
0,
0,
0,
0.4,
0,
0,
0,
0.80952381,
0,
0,
0,
0,
0.166666667,
0.315789474,
0.05,
0,
0.25,
0.363636364,
0.1,
0.25,
0.05,
0.736842105,
0.05,
0.05,
0.1,
0.05,
0,
0.25,